timestamp,server_id,incoming_requests,active_connections,cpu_usage_percent,memory_usage_percent,network_latency_ms,response_time_ms,server_capacity_weight
01-01-2024 00:28,7,562,26,39.02,35.91,87.23,45.44,2
01-01-2024 00:29,4,455,180,68,74.82,68.49,203.7,4
01-01-2024 00:30,9,623,472,20.97,53.29,129.24,122.57,1
01-01-2024 00:31,3,256,150,78.09,19.44,103.74,334.25,3
01-01-2024 00:32,5,203,133,87.74,83.9,237.21,717.58,5
01-01-2024 00:33,3,835,143,40.1,72.58,225.55,311.34,2
01-01-2024 00:34,7,97,164,70,58.86,110.77,490.59,2
01-01-2024 00:35,5,698,101,22.6,47.76,297.72,720.55,3
01-01-2024 00:36,9,50,63,68.72,86.99,292.28,300.63,2
01-01-2024 00:37,7,796,93,11.82,73.13,275.76,305.29,1
01-01-2024 00:38,2,954,207,22.82,55.12,178.02,88.63,2
01-01-2024 00:39,4,817,475,70.34,63.99,126.63,292.26,1
01-01-2024 00:40,9,456,433,70.51,36.06,97.34,602,1
01-01-2024 00:41,2,156,311,64.5,29.68,9.43,678.81,5
01-01-2024 00:42,10,222,72,50.58,35.5,191.38,583.75,5
01-01-2024 00:43,9,555,60,67.37,36.99,168.18,25.4,5
01-01-2024 00:44,10,179,441,75.77,70.48,190.81,111.24,5
01-01-2024 00:45,5,447,29,92.15,25.5,174.91,590.17,3
01-01-2024 00:46,2,343,19,85.53,73.32,45.63,755.07,3
01-01-2024 00:47,4,601,479,77.54,54.25,210.14,562.38,4
01-01-2024 00:48,7,496,73,69.05,43.84,111.33,196.36,1
01-01-2024 00:49,8,899,394,58.8,37.53,157.31,103.9,4
01-01-2024 00:50,3,65,357,20.25,53.49,112.87,704.07,3
01-01-2024 00:51,1,688,394,24.07,38.81,11.49,97.24,4
01-01-2024 00:52,4,934,246,79.72,47.21,263.58,137.81,1
01-01-2024 00:53,2,398,481,78.28,70.43,48.88,485.42,5
01-01-2024 00:54,8,252,473,62.23,61.95,176.74,168.2,2
01-01-2024 00:55,4,183,313,47.3,71.1,265.52,197.52,3
01-01-2024 00:56,2,820,438,12.21,68.47,70.29,130.96,1
01-01-2024 00:57,6,575,440,37.81,76.13,126.54,756.57,2
01-01-2024 00:58,6,557,324,45.75,30.13,116.43,117.44,3
01-01-2024 00:59,10,115,453,51.29,89.63,31.32,746.44,1
01-01-2024 01:00,4,529,87,88.99,50.68,129.94,274.43,3
01-01-2024 01:01,6,912,359,19.24,68.87,146.45,660.82,1
01-01-2024 01:02,2,508,183,54.1,65.83,12.85,761,3
01-01-2024 01:03,10,391,197,41.27,57.46,149,425.02,3
01-01-2024 01:04,2,756,244,94.16,89.69,32.68,620.73,5
01-01-2024 01:05,10,675,328,83.26,31.3,268.28,227.49,1
01-01-2024 01:06,4,208,465,47.3,46.63,196.8,318.71,4
01-01-2024 01:07,8,210,385,94.97,24.58,21.65,451.33,2
01-01-2024 01:08,7,303,118,53.7,28.64,248.98,683.36,3
01-01-2024 01:09,9,946,498,24.21,68.47,111.67,504.18,5
01-01-2024 01:10,8,989,396,57.25,15.36,71.56,37.24,4
01-01-2024 01:11,5,576,419,29.23,81.74,79.91,257.73,3
01-01-2024 01:12,2,598,372,64.09,62.49,181.33,694.68,1
01-01-2024 01:13,5,204,462,89.68,48.07,29.06,207.38,2
01-01-2024 01:14,8,535,496,76.83,39.85,22.33,306.98,4
01-01-2024 01:15,10,481,82,33.22,24.47,190.12,323.9,2
01-01-2024 01:16,9,76,458,35.23,84.12,294.66,140.47,3
01-01-2024 01:17,9,61,247,15.89,68.42,147.61,292.85,5
01-01-2024 01:18,1,116,463,34.3,40.23,126.92,657.59,4
01-01-2024 01:19,9,591,234,17.87,20.32,284.42,682.29,3
01-01-2024 01:20,7,145,417,52.45,39.43,76.09,473.1,3
01-01-2024 01:21,9,264,467,70.21,28.85,75.96,549.42,2
01-01-2024 01:22,8,243,482,73.85,73.97,272.01,436.97,5
01-01-2024 01:23,1,696,365,15.06,68.97,195.84,54.53,4
01-01-2024 01:24,8,339,153,38.9,52.36,20.87,563.41,2
01-01-2024 01:25,8,593,272,34.49,81.44,203.82,797.31,2
01-01-2024 01:26,3,934,392,18.87,28.55,246.91,197.7,3
01-01-2024 01:27,1,88,35,40.81,48.9,85.82,786.08,3
01-01-2024 01:28,8,913,213,35.44,68.3,117.95,798.26,3
01-01-2024 01:29,3,988,211,63.93,20.09,63.31,130.38,1
01-01-2024 01:30,3,988,430,85.08,42.95,191.84,742.39,4
01-01-2024 01:31,1,255,139,48.66,57.87,200.94,546.92,4
01-01-2024 01:32,5,948,189,73.47,42.51,25.22,383.77,5
01-01-2024 01:33,10,991,300,22.41,51.01,204.92,288.84,1
01-01-2024 01:34,7,977,395,86.07,60.61,199.24,511.25,5
01-01-2024 01:35,10,604,252,22.97,42.63,15.36,677.37,5
01-01-2024 01:36,9,533,395,26.33,22.95,168.83,46.6,1
01-01-2024 01:37,7,386,150,19.05,25.46,186.11,437.66,1
01-01-2024 01:38,9,545,341,36.32,54.53,131.9,527.21,1
01-01-2024 01:39,8,820,219,56.95,28.11,270.89,39.97,5
01-01-2024 01:40,2,298,82,93.98,81.74,101.87,713.48,4
01-01-2024 01:41,1,123,190,77.44,77.56,24.82,762.4,5
01-01-2024 01:42,7,422,234,42.34,41.18,203.2,497.74,2
01-01-2024 01:43,7,880,176,58.95,77.32,183.54,111.26,3
01-01-2024 01:44,8,928,232,62.98,54.99,296.77,747.28,4
01-01-2024 01:45,5,857,358,79.93,26.93,73.24,647.91,2
01-01-2024 01:46,3,835,478,72.6,61.07,121.67,42.27,4
01-01-2024 01:47,8,884,63,58.39,65.96,141.05,471.74,2
01-01-2024 01:48,6,920,435,66.88,21.29,259.14,109.34,3
01-01-2024 01:49,3,751,429,73.4,38.58,127.3,130.03,3
01-01-2024 01:50,1,187,495,21.32,15.4,232.78,170.16,4
01-01-2024 01:51,3,997,237,27.04,38.73,51.3,329.03,5
01-01-2024 01:52,5,506,33,68.53,40.16,125.89,703.58,2
01-01-2024 01:53,3,863,213,82.29,62.27,50.72,44.24,3
01-01-2024 01:54,1,872,60,44.79,29.93,285.16,557.58,2
01-01-2024 01:55,5,991,379,93.29,17.26,57.44,772.35,1
01-01-2024 01:56,10,892,2,28.37,38.67,128.63,520.16,5
01-01-2024 01:57,7,493,397,45.42,76.92,29.27,656.17,5
01-01-2024 01:58,7,402,450,42.17,44.94,276.81,723.38,4
01-01-2024 01:59,9,843,57,89.08,46.13,189.03,577.54,2
01-01-2024 02:00,10,460,427,34.26,50.18,288.92,534.68,2
01-01-2024 02:01,10,727,301,50.02,71.38,17.47,34.01,3
01-01-2024 02:02,3,839,287,25.91,51,56.62,424.73,1
01-01-2024 02:03,7,587,138,54.31,21.85,117.11,386,1
01-01-2024 02:04,1,502,279,82.88,30.48,188.3,427.71,2
01-01-2024 02:05,4,468,214,35.84,29.09,102.21,357.33,3
01-01-2024 02:06,4,499,239,78.92,53.09,215,727.11,5
01-01-2024 02:07,5,634,285,87.46,17.24,53.71,713.44,4
01-01-2024 02:08,7,164,481,16.2,36.27,182.19,118.04,5
01-01-2024 02:09,7,100,31,74.3,60.54,122.4,435.66,1
01-01-2024 02:10,4,418,206,31.7,41.6,154.93,768.46,1
01-01-2024 02:11,7,963,458,24.9,68.08,173.04,486.96,2
01-01-2024 02:12,3,732,274,61.1,44.34,22.67,645.3,1
01-01-2024 02:13,6,829,11,69.98,88.44,277.59,311.22,3
01-01-2024 02:14,2,564,359,43.55,87.4,236.9,314.25,5
01-01-2024 02:15,10,259,47,13.33,74.99,135.52,274.04,2
01-01-2024 02:16,9,937,3,87.24,86.58,166.5,37.04,3
01-01-2024 02:17,5,952,130,72.11,30.36,14.6,741.38,3
01-01-2024 02:18,6,951,438,33.09,71.32,151.89,292.72,4
01-01-2024 02:19,4,899,72,52.23,39.12,130.76,306.33,1
01-01-2024 02:20,10,862,159,12.36,69.4,115.47,612.45,1
01-01-2024 02:21,7,944,392,38.84,43.04,245.53,430.98,3
01-01-2024 02:22,9,903,427,54.42,36.71,58.67,302.39,2
01-01-2024 02:23,7,676,432,53.96,86.91,57.01,709.22,3
01-01-2024 02:24,1,728,130,27.7,30.74,158.89,663.8,3
01-01-2024 02:25,1,484,22,76.02,71.89,207.71,781.91,1
01-01-2024 02:26,9,826,380,35.4,65.6,11.62,520,5
01-01-2024 02:27,9,276,389,59.33,37.76,166.02,558.28,1
01-01-2024 02:28,4,712,135,33.08,49.38,93.12,273.11,4
01-01-2024 02:29,9,317,20,46.14,25.72,228.28,97.67,4
01-01-2024 02:30,3,165,220,27.64,84.09,143.32,102.62,2
01-01-2024 02:31,7,649,333,63.81,87.61,251.05,523.83,5
01-01-2024 02:32,6,879,130,46.17,69.93,122.11,108.35,3
01-01-2024 02:33,8,803,32,11.37,78.71,248.99,727.17,5
01-01-2024 02:34,9,409,90,12.39,21.2,216.37,569.02,1
01-01-2024 02:35,5,378,259,50.05,43.8,249.34,196.44,1
01-01-2024 02:36,1,894,425,25.57,39.81,244.66,237.79,3
01-01-2024 02:37,3,89,298,59.73,57.37,148.48,573.78,3
01-01-2024 02:38,10,231,333,44.7,28.75,113.59,662.81,4
01-01-2024 02:39,8,539,249,65.63,57.25,230.72,674.76,1
01-01-2024 02:40,6,258,469,90.95,64.08,111.65,488.8,1
01-01-2024 02:41,8,952,173,54.94,24.93,31.37,141.08,4
01-01-2024 02:42,9,322,357,76.93,24.88,258.36,658.32,2
01-01-2024 02:43,4,168,471,74.01,17.66,122.17,637.48,2
01-01-2024 02:44,1,431,455,88.35,72.07,44.12,671.58,4
01-01-2024 02:45,1,995,401,28.19,39.83,195.71,142.98,1
01-01-2024 02:46,10,585,476,80.32,31.91,267.48,553.8,1
01-01-2024 02:47,4,307,384,86.97,73.36,258.98,768.99,2
01-01-2024 02:48,7,532,47,43.38,25.74,168.56,219.73,3
01-01-2024 02:49,2,558,478,36.67,47.04,30.98,579.05,3
01-01-2024 02:50,3,141,197,90.92,70.86,210.5,221.96,4
01-01-2024 02:51,1,210,408,63.35,58.04,184.6,259.54,3
01-01-2024 02:52,5,198,455,42.36,56.55,66.99,398.51,2
01-01-2024 02:53,1,166,379,77.31,26.81,270.66,718.06,5
01-01-2024 02:54,8,507,34,35.88,28.57,30.57,50.16,4
01-01-2024 02:55,1,614,254,24.99,58.69,115.05,791.92,1
01-01-2024 02:56,1,863,248,56.24,16.77,32.89,622.22,5
01-01-2024 02:57,2,94,434,58.13,80.18,274.02,300.63,2
01-01-2024 02:58,2,826,42,80.19,41.29,15.44,296.24,1
01-01-2024 02:59,6,823,289,48.85,46.25,130.6,396.73,3
01-01-2024 03:00,7,868,123,79.24,34.38,259.22,702.87,4
01-01-2024 03:01,5,283,27,36.46,80.75,79.16,33.98,3
01-01-2024 03:02,1,424,462,58.91,63.19,35.98,447.63,4
01-01-2024 03:03,1,596,59,27.72,48.74,42.47,63.75,2
01-01-2024 03:04,3,899,147,42.76,58.9,124.46,110.17,2
01-01-2024 03:05,2,998,496,82.89,43.53,131.43,558.72,1
01-01-2024 03:06,5,964,115,28.36,49.92,216.83,202.76,4
01-01-2024 03:07,10,246,486,78.87,41.82,75.19,52.44,5
01-01-2024 03:08,6,74,460,34.04,45.8,212.04,148.11,3
01-01-2024 03:09,7,444,387,12.93,38.62,299.7,182.74,4
01-01-2024 03:10,4,763,199,19.34,20.82,259.95,620.43,5
01-01-2024 03:11,7,834,128,73.4,17.8,192.49,507.44,3
01-01-2024 03:12,8,85,376,32.28,28.06,282.27,593.4,2
01-01-2024 03:13,1,523,483,65.6,33.87,297.38,308.46,2
01-01-2024 03:14,6,272,153,69.43,81.79,173.23,108.24,1
01-01-2024 03:15,8,913,369,39.34,60.84,85.72,648.13,2
01-01-2024 03:16,5,838,271,50.37,86.87,274.92,129.52,2
01-01-2024 03:17,4,579,339,44.32,40.47,254.04,318.49,2
01-01-2024 03:18,2,237,444,90.52,45.13,29.96,224.58,4
01-01-2024 03:19,6,451,83,37.2,68.98,281.23,251.3,1
01-01-2024 03:20,6,306,23,25.58,58.34,113.03,489.45,4
01-01-2024 03:21,1,703,11,41.08,54.59,100.02,148.19,5
01-01-2024 03:22,9,185,187,66.91,58.17,106.26,367.78,2
01-01-2024 03:23,6,868,469,69.28,58.81,99.41,518.18,5
01-01-2024 03:24,3,640,116,88.54,72.43,157.23,697.75,5
01-01-2024 03:25,4,493,162,84.95,65.11,176.03,309.56,4
01-01-2024 03:26,4,467,103,34.51,86.8,130.56,268.58,2
01-01-2024 03:27,3,341,243,48.69,86.1,126.71,306.92,4
01-01-2024 03:28,10,623,7,73.52,46.64,222.51,410.62,3
01-01-2024 03:29,3,178,362,87.91,17.68,5.89,264.21,3
01-01-2024 03:30,3,390,172,38.66,15.83,284.33,215.35,2
01-01-2024 03:31,4,859,256,47.78,24.24,215.76,312.74,5
01-01-2024 03:32,7,306,247,86.46,20.62,213.64,626.71,4
01-01-2024 03:33,4,773,475,40.47,43,129.48,217.2,5
01-01-2024 03:34,9,615,192,50.84,18.97,289.91,678.81,3
01-01-2024 03:35,1,736,114,86.88,61.87,5.1,242.38,4
01-01-2024 03:36,8,149,23,78.19,29.26,27.56,490.4,4
01-01-2024 03:37,7,88,358,30.69,53.55,242.2,777.36,4
01-01-2024 03:38,2,975,314,37.61,22.73,222.92,762.4,2
01-01-2024 03:39,8,312,276,40,77.08,85.05,359.01,2
01-01-2024 03:40,1,199,411,87.58,73.5,180.45,72.66,2
01-01-2024 03:41,9,682,373,94.91,43.99,161.96,724.05,4
01-01-2024 03:42,9,739,444,75.79,83.29,160.5,118.99,5
01-01-2024 03:43,2,862,136,51.17,28.93,180.69,740.37,1
01-01-2024 03:44,7,379,357,10.86,76.05,298.15,591.45,5
01-01-2024 03:45,10,169,195,69.29,55.94,296.27,748.71,3
01-01-2024 03:46,3,633,258,43.1,39.72,294.6,539.01,3
01-01-2024 03:47,7,268,278,63.8,21.33,166.86,796.19,2
01-01-2024 03:48,10,955,70,61.57,27.85,98.84,384.26,1
01-01-2024 03:49,9,959,359,50.87,79.71,170.23,277.1,2
01-01-2024 03:50,4,863,360,90.27,60.52,188.69,326.78,5
01-01-2024 03:51,1,172,36,11.97,32.78,96.87,293.23,2
01-01-2024 03:52,2,293,108,70.53,52.19,191.67,332.62,3
01-01-2024 03:53,1,935,24,44.84,23.09,188.49,710.46,3
01-01-2024 03:54,5,636,140,70.67,22.41,271.52,481.81,2
01-01-2024 03:55,5,567,465,67.39,83.08,75.09,586.04,5
01-01-2024 03:56,7,70,22,10.87,49.34,210.79,244.54,4
01-01-2024 03:57,9,239,339,34.25,42.12,137.97,792.1,5
01-01-2024 03:58,9,274,329,26.07,86.18,43.33,238.97,2
01-01-2024 03:59,3,964,204,24.19,44.93,98.27,144.04,5
01-01-2024 04:00,3,664,380,71.92,40.22,21.9,626.99,3
01-01-2024 04:01,3,905,224,30.36,35.47,99.2,674.48,1
01-01-2024 04:02,4,515,223,50.35,57.38,25.36,327.16,3
01-01-2024 04:03,8,148,81,30.99,56.88,278.01,442.04,3
01-01-2024 04:04,6,879,407,59.32,16.21,35.02,343.02,4
01-01-2024 04:05,8,412,330,71.25,64.05,246.12,249.26,2
01-01-2024 04:06,1,132,191,38.14,74.12,272.31,654.43,4
01-01-2024 04:07,8,742,286,61.26,61.2,142.96,610.49,4
01-01-2024 04:08,4,713,147,80.11,80.24,20.91,398.56,2
01-01-2024 04:09,1,105,282,18.01,35.73,180.76,375.33,5
01-01-2024 04:10,8,751,474,70.41,29.4,74.26,160.53,1
01-01-2024 04:11,4,979,384,37.47,67.3,57.11,517.07,4
01-01-2024 04:12,6,71,11,20.43,29.14,172.2,740.47,4
01-01-2024 04:13,8,629,276,56.38,21.83,110.13,580.7,5
01-01-2024 04:14,4,234,374,29.23,22.25,220.46,414.89,2
01-01-2024 04:15,3,571,56,79.82,72.63,179.42,50.15,3
01-01-2024 04:16,9,627,173,13.65,17.16,249.66,745.62,5
01-01-2024 04:17,3,313,452,18.39,36.71,22.22,260.27,3
01-01-2024 04:18,9,274,303,54.28,24.69,74.3,253.96,1
01-01-2024 04:19,2,684,204,60.06,71.62,172.26,386.28,4
01-01-2024 04:20,2,87,345,72.04,52.76,264.73,354.75,1
01-01-2024 04:21,2,172,248,32.04,30.41,244.96,770.63,3
01-01-2024 04:22,6,879,314,81.55,71.28,205.46,148.71,3
01-01-2024 04:23,3,205,266,91.02,71.28,174.35,557.52,3
01-01-2024 04:24,9,955,22,52.42,54.23,191.28,103.28,4
01-01-2024 04:25,4,350,327,74.65,35.69,68.01,235.98,2
01-01-2024 04:26,1,882,24,54.61,58.97,180.58,583.27,2
01-01-2024 04:27,4,116,194,15.9,85.01,150.66,647.15,4
01-01-2024 04:28,1,954,96,37.72,18.87,118.41,385.76,2
01-01-2024 04:29,5,694,469,17.44,35.02,266.88,635.69,2
01-01-2024 04:30,4,923,445,94.05,36.37,249.68,749.4,4
01-01-2024 04:31,8,443,263,29.47,62.39,27.64,749.91,2
01-01-2024 04:32,8,701,72,64.05,63.84,295.79,287.13,2
01-01-2024 04:33,7,643,243,34.17,30.47,72.85,263.47,5
01-01-2024 04:34,3,619,383,65.53,31.21,68.53,586.63,1
01-01-2024 04:35,1,710,38,27.88,84.62,283.43,530.19,1
01-01-2024 04:36,1,454,405,76.75,71.72,136.22,325.97,1
01-01-2024 04:37,3,498,392,19.42,85.07,242.58,198.37,5
01-01-2024 04:38,6,180,377,86.09,77.22,90.02,502.38,1
01-01-2024 04:39,7,118,89,81.44,45.16,262.59,355.59,3
01-01-2024 04:40,6,394,28,67.7,24.14,250.53,123.05,1
01-01-2024 04:41,6,811,92,15.73,62.22,158.25,518.61,4
01-01-2024 04:42,6,369,54,27.73,41.4,212.99,564.19,1
01-01-2024 04:43,3,226,159,83.05,46.91,289.39,304.1,3
01-01-2024 04:44,6,633,372,20.37,46.94,138.35,668.92,1
01-01-2024 04:45,8,578,228,23.25,85.24,150.79,77.47,2
01-01-2024 04:46,2,890,473,56.24,20.16,218.23,406.81,3
01-01-2024 04:47,5,209,372,33.31,29.48,119,765.94,4
01-01-2024 04:48,1,631,376,28.88,60.6,288.56,168.56,2
01-01-2024 04:49,1,674,41,58.94,81.28,16.93,154.41,2
01-01-2024 04:50,5,793,37,41.67,83.85,124,315.38,5
01-01-2024 04:51,3,582,125,21.95,56.9,215.59,229.11,2
01-01-2024 04:52,4,184,422,55.46,17.59,131.67,192.8,1
01-01-2024 04:53,3,824,179,42.9,42.22,81.48,760.88,2
01-01-2024 04:54,1,160,332,72.43,83.91,126.97,288.98,2
01-01-2024 04:55,1,807,37,18.73,52.5,265.05,66.67,5
01-01-2024 04:56,5,332,101,62.75,69.5,166.37,721.83,1
01-01-2024 04:57,6,569,31,47.1,35.19,103.86,369.63,1
01-01-2024 04:58,3,845,190,44.52,16.88,203.1,594.03,2
01-01-2024 04:59,9,768,146,29.74,58.38,185.49,306.53,4
01-01-2024 05:00,5,243,90,12.59,77.62,170.33,749.43,4
01-01-2024 05:01,8,96,6,82.05,89.27,120.39,244.48,1
01-01-2024 05:02,1,391,393,37.74,78.5,26.3,536.96,4
01-01-2024 05:03,5,291,139,67.89,56.55,188.12,662.99,1
01-01-2024 05:04,3,571,95,90.54,60.65,128.84,205.59,1
01-01-2024 05:05,1,419,119,58.02,76.81,131.49,645.18,3
01-01-2024 05:06,4,850,366,43.76,16.49,74.05,637.98,1
01-01-2024 05:07,5,952,120,32.8,86.37,78.58,772.09,3
01-01-2024 05:08,7,180,386,89.39,54.84,237.3,739.79,2
01-01-2024 05:09,1,319,123,67.98,86.4,146.41,323.11,5
01-01-2024 05:10,3,989,285,66.55,72.34,37.24,480.62,1
01-01-2024 05:11,2,863,366,46.22,26.42,18.53,741.73,2
01-01-2024 05:12,9,110,377,81.83,27.39,71.29,23.41,1
01-01-2024 05:13,10,213,179,70.66,41.52,148.8,509.33,1
01-01-2024 05:14,6,574,490,34.07,34.8,187.09,187.98,5
01-01-2024 05:15,10,321,325,60.96,47.95,47.39,596.24,3
01-01-2024 05:16,3,769,407,46.57,60.29,132.99,641.25,1
01-01-2024 05:17,8,807,484,10.56,47.74,26.4,576.11,1
01-01-2024 05:18,8,182,7,78.65,19.23,16.13,796.94,3
01-01-2024 05:19,2,293,384,20.44,88.17,259.69,393.82,4
01-01-2024 05:20,6,855,312,53.35,46.88,199.21,457.85,5
01-01-2024 05:21,7,483,127,38.58,78.83,235.42,339.01,5
01-01-2024 05:22,2,87,77,39.08,20.55,58.65,779.71,1
01-01-2024 05:23,10,920,234,50.58,75.75,100.04,739.75,5
01-01-2024 05:24,2,617,318,94.75,28.01,135.92,789.58,4
01-01-2024 05:25,10,368,74,44.71,65.96,199.12,788.22,1
01-01-2024 05:26,1,559,484,25.5,64.64,162.78,718.46,3
01-01-2024 05:27,8,425,464,62.16,83.24,167.68,746.08,3
01-01-2024 05:28,1,609,271,30.08,39.05,51.3,113.51,1
01-01-2024 05:29,9,666,309,18.97,23.17,145.06,155.35,3
01-01-2024 05:30,6,523,427,14.26,79.84,248.02,710.45,3
01-01-2024 05:31,7,108,467,11.94,39.87,155.29,586.9,1
01-01-2024 05:32,10,638,469,46.65,32.44,63.92,702.49,2
01-01-2024 05:33,7,989,120,46.27,51.47,126.95,620.63,5
01-01-2024 05:34,10,548,35,25.77,25.96,227.67,128.88,5
01-01-2024 05:35,3,267,207,76.64,37.27,44.82,734.92,2
01-01-2024 05:36,2,944,496,20.99,43.9,176.24,621.56,3
01-01-2024 05:37,9,616,270,87.8,35.79,289.77,465.23,5
01-01-2024 05:38,8,616,93,59.94,48.77,117.19,435.24,4
01-01-2024 05:39,10,178,453,12.35,43.85,17.87,467.56,2
01-01-2024 05:40,7,953,378,91.85,73.09,191.77,324.53,3
01-01-2024 05:41,9,432,177,36.18,83.88,18.9,646.51,4
01-01-2024 05:42,4,437,274,48.25,22.57,61.52,729.03,2
01-01-2024 05:43,4,134,179,34.16,76.75,19.28,217.27,3
01-01-2024 05:44,1,559,129,71.92,84.88,55.34,49.68,1
01-01-2024 05:45,8,775,125,51.28,66.5,257.21,178.28,3
01-01-2024 05:46,3,676,27,21.25,89.73,221.78,610.72,4
01-01-2024 05:47,7,486,64,18.86,40.13,105.85,697.35,5
01-01-2024 05:48,2,875,60,71.66,77.27,269.66,291.88,2
01-01-2024 05:49,2,342,219,30.15,65.53,201.23,138.86,1
01-01-2024 05:50,7,98,217,21.71,39.26,137.09,689.66,2
01-01-2024 05:51,6,116,169,52.45,67.85,25.16,187.42,3
01-01-2024 05:52,3,836,149,78.24,53.22,220.56,208.66,1
01-01-2024 05:53,9,178,270,33.7,29.17,115.78,92.24,5
01-01-2024 05:54,10,78,116,33.5,28.04,94.33,730.05,2
01-01-2024 05:55,6,392,245,80.88,68.5,90.04,274.84,2
01-01-2024 05:56,10,594,148,22.57,68.39,7.27,154.04,4
01-01-2024 05:57,10,168,92,62.42,54.81,224.08,763.84,3
01-01-2024 05:58,6,741,85,91.18,52.61,47.87,281.71,4
01-01-2024 05:59,1,986,87,81.51,28.5,158.59,603.04,1
01-01-2024 06:00,4,712,395,15.25,47.2,9.74,199.71,2
01-01-2024 06:01,10,182,120,37.19,80.35,190.23,586.92,1
01-01-2024 06:02,6,376,450,22.1,79.1,114,201.09,5
01-01-2024 06:03,6,234,340,90.69,64.57,191.07,517.44,5
01-01-2024 06:04,5,555,24,93.81,89.8,31.52,363.87,4
01-01-2024 06:05,1,695,375,29.97,81.99,83.57,643,4
01-01-2024 06:06,8,738,89,66.92,25.89,37.54,589.61,4
01-01-2024 06:07,5,583,37,81.54,44.94,195.59,749.68,2
01-01-2024 06:08,5,290,342,29.86,24.9,37.02,313.77,5
01-01-2024 06:09,7,638,383,25.95,49.96,187.05,608.38,5
01-01-2024 06:10,4,765,408,10.95,73.23,44.73,775.7,4
01-01-2024 06:11,6,565,271,45.02,26.68,283.29,282.32,5
01-01-2024 06:12,4,889,12,86.45,81.03,127.83,246.2,2
01-01-2024 06:13,3,214,494,86.75,57.68,42.34,619.86,3
01-01-2024 06:14,7,976,95,20.86,71.17,17.33,367.51,2
01-01-2024 06:15,8,982,491,27.37,18.39,102.18,330.95,1
01-01-2024 06:16,4,689,448,44.68,22.04,267.96,445.58,1
01-01-2024 06:17,2,606,31,76.35,61.56,47.43,749.71,4
01-01-2024 06:18,10,267,437,62.01,77.86,238.3,85.4,1
01-01-2024 06:19,3,796,350,53.68,80.54,128.12,383.23,4
01-01-2024 06:20,1,697,233,60.31,66.63,241.86,105.91,3
01-01-2024 06:21,8,729,340,18.18,30.07,262.92,709.2,2
01-01-2024 06:22,3,798,328,50.6,29.63,299.36,126.63,5
01-01-2024 06:23,10,654,300,94.33,81.1,25.12,89.97,1
01-01-2024 06:24,7,54,286,17.52,23.49,239.91,771.73,3
01-01-2024 06:25,10,717,35,54.14,66.46,25.56,459.41,2
01-01-2024 06:26,5,806,21,35.13,55.01,97.86,664.2,3
01-01-2024 06:27,10,921,111,55.89,46.61,195.64,386.8,2
01-01-2024 06:28,5,130,488,58.77,48.03,136.95,359.8,1
01-01-2024 06:29,7,296,319,59.09,85.89,171.75,731.06,4
01-01-2024 06:30,9,904,348,82.44,79.61,290.03,792.1,2
01-01-2024 06:31,5,542,487,43.13,79.87,246.5,502.45,2
01-01-2024 06:32,1,698,145,53.89,45.5,112.28,736.19,3
01-01-2024 06:33,10,435,12,10.93,23.02,181.98,692.92,1
01-01-2024 06:34,10,624,244,77.11,89.84,19.3,444.33,3
01-01-2024 06:35,1,356,498,32.06,25.9,138.6,754.06,4
01-01-2024 06:36,2,677,146,79.41,53.67,184.48,183.84,5
